
Player1,0,2021/12/8
Player1,120,2021/12/8
Player1,380,2021/12/8
Player1,1920,2021/12/8
Player1,630,2021/12/8
Player1,0,2021/12/8
Player1,1120,2021/12/8
Player1,510,2021/12/8
Player1,0,2021/12/8
Player1,500,2021/12/8
Player1,410,2021/12/8
Player1,1540,2021/12/8
Player1,80,2021/12/8
Player1,1160,2021/12/8
Player1,990,2021/12/8
Player1,980,2021/12/8
Player1,450,2021/12/8
Player1,130,2021/12/8
Player1,1650,2021/12/8
Player1,650,2021/12/8
Player1,0,2021/12/8
Player1,0,2021/12/8
Player1,0,2021/12/8
Player1,130,2021/12/8
Player1,1350,2021/12/9
Player1,150,2021/12/9
Player1,980,2021/12/9
Player1,1290,2021/12/9
Player1,900,2021/12/9
Player1,370,2021/12/10
Player1,870,2021/12/10
Player1,1040,2021/12/10
Player1,720,2021/12/10
Player1,1700,2021/12/10
Player1,50,2021/12/10
Player1,1630,2021/12/10
Player1,980,2021/12/10
Player1,1860,2021/12/10
Player1,1660,2021/12/10
Player1,1560,2021/12/10
Player1,1510,2021/12/10
Player1,200,2021/12/10
Player1,680,2021/12/10
Player1,710,2021/12/10
Player1,550,2021/12/10
Player1,1910,2021/12/10
Player1,80,2021/12/10
Player1,1150,2021/12/10
Player1,550,2021/12/10
Player1,900,2021/12/10
Player1,460,2021/12/10
Player1,490,2021/12/10
Player1,410,2021/12/10
Player1,1650,2021/12/10
Player1,400,2021/12/10
Player1,560,2021/12/10
Player1,1410,2021/12/10
Player1,2510,2022/5/10
